,name,age,from_team,to_team,avg_salary,year_fa,IDfg,first_played,last_played,pos_1B,pos_2B,pos_3B,pos_C,pos_DH,pos_SS
176,Don Kelly,34.9,DET,MIA,1250000.0,2015,2216,2007.0,2016.0,0,0,0,0,0,0
177,Drew Butera,33.2,KC,KC,1900000.0,2017,3411,2010.0,2021.0,0,0,0,1,0,0
178,Dustin Garneau,32.2,OAK,HOU,650000.0,2020,9433,2015.0,2021.0,0,0,0,1,0,0
179,Eddie Rosario,29.3,MIN,CLE,8000000.0,2021,12155,2015.0,2021.0,0,0,0,0,0,0
180,Eduardo Escobar,32.8,MIL,NYM,10000000.0,2022,6153,2011.0,2021.0,0,0,1,0,0,0
181,Eduardo Nunez,30.7,BOS,BOS,4000000.0,2018,6848,2010.0,2020.0,0,0,1,0,0,0
182,Edwin Encarnacion,33.9,TOR,CLE,20000000.0,2017,2151,2005.0,2020.0,0,0,0,0,1,0
183,Edwin Encarnacion,36.9,NYY,CHW,12000000.0,2020,2151,2005.0,2020.0,0,0,0,0,1,0
184,Elliot Johnson,30.9,CLE,TEX,900000.0,2015,4751,2008.0,2014.0,0,1,0,0,0,0
185,Elliot Johnson,29.8,ATL,CLE,930000.0,2014,4751,2008.0,2014.0,0,1,0,0,0,0
186,Emilio Bonifacio,29.7,ATL,CHW,4000000.0,2015,4054,2007.0,2020.0,0,0,0,0,0,0
187,Endy Chavez,36.9,SEA,SEA,750000.0,2015,768,2001.0,2014.0,0,0,0,0,0,0
188,Endy Chavez,33.8,TEX,BAL,1500000.0,2012,768,2001.0,2014.0,0,0,0,0,0,0
189,Enrique Hernandez,29.3,LAD,BOS,7000000.0,2021,10472,2014.0,2021.0,0,0,0,0,0,0
190,Eric Chavez,34.2,NYY,NYY,900000.0,2012,906,1998.0,2014.0,0,0,1,0,0,0
191,Eric Chavez,36.0,ARI,ARI,3500000.0,2014,906,1998.0,2014.0,0,0,1,0,0,0
192,Eric Chavez,34.9,NYY,ARI,3000000.0,2013,906,1998.0,2014.0,0,0,1,0,0,0
193,Eric Fryer,27.2,PIT,MIN,515000.0,2013,8145,2011.0,2017.0,0,0,0,1,0,0
194,Eric Hinske,35.2,ATL,ARI,1350000.0,2013,1305,2002.0,2013.0,1,0,0,0,0,0
195,Eric Hosmer,28.2,KC,SD,18000000.0,2018,3516,2011.0,2021.0,1,0,0,0,0,0
196,Eric Sogard,33.5,TB,MIL,4500000.0,2020,7927,2010.0,2021.0,0,0,1,0,0,0
197,Eric Thames,33.1,MIL,WSH,4000000.0,2020,3711,2011.0,2020.0,1,0,0,0,0,0
198,Felix Pie,26.8,BAL,CLE,1000000.0,2012,3751,2007.0,2013.0,0,0,0,0,0,0
199,Francisco Cervelli,33.8,ATL,MIA,2000000.0,2020,5275,2008.0,2020.0,0,0,0,1,0,0
200,Francisco Peguero,25.5,SF,BAL,550000.0,2014,5496,2012.0,2013.0,0,0,0,0,0,0
201,Franklin Gutierrez,30.8,SEA,SEA,1000000.0,2014,3255,2005.0,2017.0,0,0,0,0,0,0
202,Franklin Gutierrez,32.7,SEA,SEA,1500000.0,2016,3255,2005.0,2017.0,0,0,0,0,0,0
203,Franklin Gutierrez,33.9,SEA,LAD,2600000.0,2017,3255,2005.0,2017.0,0,0,0,0,0,0
204,Fred Lewis,31.1,CIN,CLE,900000.0,2012,4693,2006.0,2012.0,0,0,0,0,0,0
205,Freddy Galvis,31.2,CIN,BAL,1500000.0,2021,6609,2012.0,2021.0,0,0,0,0,0,1
206,Freddy Galvis,29.2,SD,TOR,5000000.0,2019,6609,2012.0,2021.0,0,0,0,0,0,1
207,Garrett Jones,32.4,PIT,MIA,3875000.0,2014,2714,2007.0,2015.0,0,0,0,0,0,0
208,George Springer,31.3,HOU,TOR,25000000.0,2021,12856,2014.0,2021.0,0,0,0,0,0,0
209,Geovany Soto,32.0,OAK,CHW,1500000.0,2015,3707,2005.0,2017.0,0,0,0,1,0,0
210,Geovany Soto,29.8,TEX,TEX,2750000.0,2013,3707,2005.0,2017.0,0,0,0,1,0,0
211,Geovany Soto,32.8,CHW,LAA,2800000.0,2016,3707,2005.0,2017.0,0,0,0,1,0,0
212,Gerald Laird,35.2,ATL,ARI,1000000.0,2015,1698,2003.0,2015.0,0,0,0,1,0,0
213,Gerald Laird,33.0,DET,ATL,1500000.0,2013,1698,2003.0,2015.0,0,0,0,1,0,0
214,Gerardo Parra,28.7,BAL,COL,9166667.0,2016,8553,2009.0,2021.0,0,0,0,0,0,0
215,Gordon Beckham,29.2,CHW,ATL,1250000.0,2016,9015,2009.0,2019.0,0,1,0,0,0,0
216,Gordon Beckham,28.3,LAA,CHW,2000000.0,2015,9015,2009.0,2019.0,0,1,0,0,0,0
217,Grady Sizemore,29.2,CLE,CLE,5000000.0,2012,2197,2004.0,2015.0,0,0,0,0,0,0
218,Grady Sizemore,31.4,CLE,BOS,750000.0,2014,2197,2004.0,2015.0,0,0,0,0,0,0
219,Greg Dobbs,33.5,MIA,MIA,1500000.0,2012,2158,2004.0,2014.0,1,0,0,0,0,0
220,Guillermo Heredia,28.9,TB,PIT,1000000.0,2020,18721,2016.0,2021.0,0,0,0,0,0,0
221,Hanley Ramirez,30.9,LAD,BOS,22000000.0,2015,8001,2005.0,2019.0,1,0,0,0,0,0
222,Henry Blanco,40.2,ARI,ARI,1200000.0,2012,81,1997.0,2013.0,0,0,0,1,0,0
223,Hideki Matsui,37.8,OAK,TB,900000.0,2012,1659,2003.0,2012.0,0,0,0,0,1,0
224,Howie Kendrick,36.3,WSH,WSH,6250000.0,2020,4229,2006.0,2020.0,0,1,0,0,0,0
225,Howie Kendrick,34.5,WSH,WSH,3500000.0,2018,4229,2006.0,2020.0,0,1,0,0,0,0
226,Howie Kendrick,32.5,LAD,LAD,10000000.0,2016,4229,2006.0,2020.0,0,1,0,0,0,0
227,Hunter Pence,36.8,TEX,SF,3000000.0,2020,8252,2007.0,2020.0,0,0,0,0,0,0
228,Hunter Renfroe,28.8,TB,BOS,3100000.0,2021,15464,2016.0,2021.0,0,0,0,0,0,0
229,Ian Desmond,31.2,TEX,COL,14000000.0,2017,6885,2009.0,2019.0,0,0,0,0,0,0
230,Ian Desmond,30.4,WSH,TEX,8000000.0,2016,6885,2009.0,2019.0,0,0,0,0,0,0
231,Ian Kinsler,36.4,BOS,SD,4000000.0,2019,6195,2006.0,2019.0,0,1,0,0,0,0
232,Ichiro Suzuki,41.2,NYY,MIA,2000000.0,2015,1101,2001.0,2019.0,0,0,0,0,0,0
233,Ichiro Suzuki,39.1,NYY,NYY,6500000.0,2013,1101,2001.0,2019.0,0,0,0,0,0,0
234,Ichiro Suzuki,44.3,MIA,SEA,750000.0,2018,1101,2001.0,2019.0,0,0,0,0,0,0
235,J.D. Martinez,30.4,ARI,BOS,22000000.0,2018,6184,2011.0,2021.0,0,0,0,0,1,0
236,J.P. Arencibia,27.9,TOR,TEX,1800000.0,2014,697,2010.0,2015.0,1,0,0,0,0,0
237,J.T. Realmuto,29.8,PHI,PHI,23100000.0,2021,11739,2014.0,2021.0,0,0,0,1,0,0
238,Jack Hannahan,32.8,CLE,CIN,2000000.0,2013,3692,2006.0,2014.0,1,0,0,0,0,0
239,Jack Wilson,34.0,ATL,ATL,1000000.0,2012,1017,2001.0,2012.0,0,1,0,0,0,0
240,Jacoby Ellsbury,30.2,BOS,NYY,21857143.0,2014,4727,2007.0,2017.0,0,0,0,0,0,0
241,Jaff Decker,25.0,PIT,TB,525000.0,2016,7945,2013.0,2017.0,0,0,0,0,0,0
242,Jake Lamb,30.3,OAK,ATL,1000000.0,2021,13329,2014.0,2021.0,1,0,0,0,0,0
243,Jake Marisnick,29.8,NYM,CHC,1500000.0,2021,11339,2013.0,2021.0,0,0,0,0,0,0
244,James Loney,29.6,TB,TB,7000000.0,2014,4556,2006.0,2016.0,1,0,0,0,0,0
245,James Loney,28.5,BOS,TB,2000000.0,2013,4556,2006.0,2016.0,1,0,0,0,0,0
246,James McCann,28.5,DET,CHW,2500000.0,2019,12859,2014.0,2021.0,0,0,0,1,0,0
247,James McCann,30.4,CHW,NYM,10150000.0,2021,12859,2014.0,2021.0,0,0,0,1,0,0
248,Jamey Carroll,37.7,LAD,MIN,3250000.0,2012,1591,2002.0,2013.0,0,1,0,0,0,0
249,Jarrod Dyson,35.4,ARI,PIT,2000000.0,2020,4866,2010.0,2021.0,0,0,0,0,0,0
250,Jarrod Dyson,33.5,SEA,ARI,3750000.0,2018,4866,2010.0,2021.0,0,0,0,0,0,0
251,Jarrod Dyson,36.5,CHW,KC,1500000.0,2021,4866,2010.0,2021.0,0,0,0,0,0,0
252,Jarrod Saltalamacchia,30.8,ARI,DET,507500.0,2016,5557,2007.0,2018.0,0,0,0,1,0,0
253,Jarrod Saltalamacchia,28.8,BOS,MIA,7000000.0,2014,5557,2007.0,2018.0,0,0,0,1,0,0
254,Jason Bay,34.2,NYM,SEA,1000000.0,2013,1717,2003.0,2013.0,0,0,0,0,0,0
255,Jason Castro,29.4,HOU,MIN,8166667.0,2017,8722,2010.0,2021.0,0,0,0,1,0,0
256,Jason Castro,33.6,SD,HOU,3500000.0,2021,8722,2010.0,2021.0,0,0,0,1,0,0
257,Jason Castro,32.5,MIN,LAA,6850000.0,2020,8722,2010.0,2021.0,0,0,0,1,0,0
258,Jason Giambi,42.1,COL,CLE,750000.0,2013,818,1995.0,2014.0,0,0,0,0,1,0
259,Jason Heyward,26.3,STL,CHC,23000000.0,2016,4940,2010.0,2021.0,0,0,0,0,0,0
260,Jason Kubel,31.5,CLE,MIN,2000000.0,2014,2161,2004.0,2014.0,0,0,0,0,0,0
261,Javier Baez,28.9,NYM,DET,23333333.0,2022,12979,2014.0,2021.0,0,0,0,0,0,1
262,Jay Bruce,30.8,CLE,NYM,13000000.0,2018,9892,2008.0,2021.0,0,0,0,0,0,0
263,Jayson Nix,32.4,KC,BAL,750000.0,2015,3790,2008.0,2014.0,0,1,0,0,0,0
264,Jed Lowrie,30.6,OAK,HOU,7666667.0,2015,4418,2008.0,2021.0,0,1,0,0,0,0
265,Jed Lowrie,34.7,OAK,NYM,10000000.0,2019,4418,2008.0,2021.0,0,1,0,0,0,0
266,Jedd Gyorko,31.2,LAD,MIL,2000000.0,2020,10816,2013.0,2020.0,0,0,1,0,0,0
267,Jeff Baker,31.6,ATL,TEX,1750000.0,2013,2073,2005.0,2015.0,1,0,0,0,0,0
268,Jeff Baker,32.6,TEX,MIA,1850000.0,2014,2073,2005.0,2015.0,1,0,0,0,0,0
269,Jeff Francoeur,32.1,PHI,ATL,1000000.0,2016,4792,2005.0,2016.0,0,0,0,0,0,0
270,Jeff Francoeur,30.2,CLE,SD,925000.0,2014,4792,2005.0,2016.0,0,0,0,0,0,0
271,Jeff Keppinger,32.6,TB,CHW,4000000.0,2013,3856,2004.0,2013.0,0,0,1,0,0,0
272,Jeff Mathis,32.7,MIA,MIA,1500000.0,2016,3448,2005.0,2021.0,0,0,0,1,0,0
273,Jeff Mathis,37.8,TEX,PHI,1800000.0,2021,3448,2005.0,2021.0,0,0,0,1,0,0
274,Jeff Mathis,33.7,MIA,ARI,2000000.0,2017,3448,2005.0,2021.0,0,0,0,1,0,0
275,Jhonny Peralta,31.4,DET,STL,13250000.0,2014,1738,2003.0,2017.0,0,0,1,0,0,0
276,Jim Thome,41.2,CLE,PHI,1250000.0,2012,409,1991.0,2012.0,0,0,0,0,1,0
277,Jimmy Rollins,37.2,LAD,CHW,2000000.0,2016,971,2000.0,2016.0,0,0,0,0,0,1
278,Joc Pederson,28.8,LAD,CHC,7000000.0,2021,11899,2014.0,2021.0,0,0,0,0,0,0
279,Johan Camargo,27.9,ATL,PHI,1400000.0,2022,14950,2017.0,2021.0,0,0,1,0,0,0
