,name,position,age,from_team,to_tam,contract_length,total_salary,avg_salary,year,spotracID,spotracLink
171,Ty Wigginton,3B,35.2,PHI,STL,2,5000000,2500000,2013,390,https://www.spotrac.com/redirect/player/390/
172,Koji Uehara,RP,37.7,TEX,BOS,1,4250000,4250000,2013,5182,https://www.spotrac.com/redirect/player/5182/
173,Shaun Marcum,SP,31.1,MIL,NYM,1,4000000,4000000,2013,900,https://www.spotrac.com/redirect/player/900/
174,Mike Pelfrey,RP,28.9,NYM,MIN,1,4000000,4000000,2013,557,https://www.spotrac.com/redirect/player/557/
175,Jack Hannahan,1B,32.8,CLE,CIN,2,4000000,2000000,2013,629,https://www.spotrac.com/redirect/player/629/
176,Ryan Madson,RP,32.2,CIN,LAA,1,3500000,3500000,2013,645,https://www.spotrac.com/redirect/player/645/
177,Roberto Hernandez,RP,32.2,CLE,TB,1,3250000,3250000,2013,243,https://www.spotrac.com/redirect/player/243/
178,Eric Chavez,3B,34.9,NYY,ARI,1,3000000,3000000,2013,609,https://www.spotrac.com/redirect/player/609/
179,Jason Marquis,SP,34.2,SD,SD,1,3000000,3000000,2013,152,https://www.spotrac.com/redirect/player/152/
180,Gerald Laird,C,33.0,DET,ATL,2,3000000,1500000,2013,5236,https://www.spotrac.com/redirect/player/5236/
